ID_BCT_O,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO
MC1,CALLE 9,ENTRE RICARDO FLORES MAGON YCENTENARIO,HERON PROAL,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.35716507,-99.22822964,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC2,RICARDO FLORES MAGÓN,CALLE 10,HERON PROAL,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.356955,-99.227227,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC3,CALLE 10,CALLE 10 Y RICARDO FLORES,HERON PROAL,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.35671371,-99.22788879,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC4,VASCO DE QUIROGA,PUEBLO NUEVO Y CJON DEL TEJOCOTE,EL PIRUL,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.381606,-99.240107,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC5,MATLACOATL,PONIENTE 140,SANTA BARBARA,#N/A,HORMIGA,AZCAPOTZALCO,PONIENTE,19.500662,-99.175948,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC6,SEGUNDA CDA. ARRAYÁN,CHAPOPOTLA,JALALPA LAS TORRES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.365031,-99.248107,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC7,CHAPOPOTLA,AV. GUSTAVO DÍAZ ORDAZ,JALALPA LAS TORRES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.365914,-99.247078,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC8,CHAPOPOTLA,ENTRE AV. JAAPA NORTE Y 2DA DE CHAPOPOTLA,JALALPA LAS TORRES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.366282,-99.247148,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC9,CALLE 1 CUATOTOLAPAN,AV GUSTAVO DÍAZ ORDAZ,JALALPA LAS TORRES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.367132,-99.246907,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC10,COMAPA,AV GUSTAVO DIAZ ORDAZ,JALALPA LAS TORRES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.36747,-99.246356,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11,GUSTAVO DÍAZ ORDAZ,1RA. CDA. DE COLIPA,JALALPA EL GRANDE,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.367698,-99.245557,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC12,3A CERRAR DE COMALTECO,COMALTECO,JALALPA EL GRANDE,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.36707626,-99.24482258,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC13,AV. JALPA NORTE,1RA CDA. CAXAPA,JALALPA EL GRANDE,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.367984,-99.244147,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC14,AV. JALPA SUR,CALLE 3,JALALPA EL GRANDE,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.368982,-99.242578,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC15,5TA. CDA. TENOCHTITLÁN,TENOCHTITLÁN,TLACUITLAPA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.351201,-99.239972,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC16,TENOCHTITLÁN,4TA. CDA. TENOCHTITLÁN,TLACUITLAPA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.351277,-99.240123,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC17,SAN BORJA,ENTRE AV CUAUHTEMOC Y AV YACATAS,NARVARTE PONIENTE,#N/A,NARVARTE-ALAMOS,BENITO JUAREZ,SUR,19.38271639,-99.15754089,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC18,TENOCHTITLÁN,ENTRE TEOTIHUACÁN Y 1RA. CDA. TENOCHTITLÁN,TLACUITLAPA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.351926,-99.240351,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC19,TEOTIHUACAN,ENTRE TEOTIHUACAN Y TEOTIHUACAN,TLACUITLAPA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.3528821,-99.2403946,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC20,AV. DEL ROSAL,PROGRESO Y LIBERTAD,EMANCIPACION DEL PUEBLO,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.35921117,-99.23815527,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC21,CALLE ARTIFICIOS,ENTRE ÁGUILA Y AV. DE LAS TORRES,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.3967969,-99.2105121,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC22,DE LOS ARCOS,SANTA MARÍA,2A AMPLIACION PRESIDENTES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.3725375,-99.2267128,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC23,ARTIFICIOS,ENTRE CERRADA PRINCIPAL Y BAJADA CAPULÍN,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.396821,-99.210078,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC24,GARDENIA,CALLE ARTIFICIOS,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.396341,-99.212335,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC25,ÁGUILA,ARTIFICIOS,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.397004,-99.211643,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC26,CDA. ORQUÍDEA,ARTIFICIOS,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.396978,-99.212288,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC27,AV. ALTA TENSIÓN,ENTRE FRANCISCO P MIRANDA Y RIO MIXCOAC ORIENTE,LOMAS DE PLATEROS,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.367059,-99.20501,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC28,CDA. TORRES,AV. DE LAS TORRES,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.397151,-99.21212,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC29,ARTIFICIOS,ENTRE PRESIDENTE JUARÉZ Y BAJADA CAPULÍN,EL CAPULIN,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.39635,-99.208536,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC30,MOCTEZUMA,ENTRE LA PAZ Y SAN FRANCISCO,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.36028,-99.250026,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC31,GUADALUPE VICTORIA,ENTRE COVARRUBIAS Y AV. TAMAULIPAS,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.359393,-99.253144,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC32,CALLE MELCHOR OCAMPO,2A CDA. Y 1A CDA. DE MELCHOR OCAMPO,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.35994617,-99.2511522,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC33,COVARRUBIAS,ENTRE GUADALUPE VICTORIA Y 18 DE JULIO,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.359138,-99.252737,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC34,18 DE JULIO,CALLE MELCHOR OCAMPO,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.359364,-99.252185,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC35,GUADALUPE VICTORIA,ENTRE COMONFORT Y MORELOS,LADERA CHICA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.357611,-99.252926,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC36,CALLE 18 DE JULIO,CALLE 18 DE JULIO,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.359008,-99.250539,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC37,MORELOS,CDA. SANTA LUCÍA,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.357304,-99.25458,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC38,AUCEDUCTO LEONES,C PRIL. ARTIFICIOS,ACUEDUCTO,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.397055,-99.207703,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC39,MORELOS,CORREGIDORA,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.358279,-99.25496,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC40,AV. RÍO MIXCOAC,CALLE 2,ACUILOTLA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.359568,-99.244455,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC41,MIGUEL ÁNGEL DE QUEVEDO,ENTRE COMUNAL Y LOMBARDO TOLEDANO,EX HACIENDA DE GUADALUPE CHIMALISTAC,SOBRE MIGUEL ANGEL DE QUEVEDO ENTRE AV DE LOS INSURGENTES A AV TLAHUAC,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.348853,-99.185939,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC42,IGNACIO ALLENDE,AV. MIGUEL ÁNGEL DE QUEVEDO,EX HACIENDA DE GUADALUPE CHIMALISTAC,SOBRE MIGUEL ANGEL DE QUEVEDO ENTRE AV DE LOS INSURGENTES A AV TLAHUAC,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.347638,-99.182321,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC43,ARENAL,IGNACIO ALLEE,EX HACIENDA DE GUADALUPE CHIMALISTAC,SOBRE MIGUEL ANGEL DE QUEVEDO ENTRE AV DE LOS INSURGENTES A AV TLAHUAC,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.34921574,-99.18146466,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC44,MEXICANOS,COSTARRICENSES,MARIA G DE GARCIA RUIZ,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.387556,-99.211115,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC45,RICARDO FLORES MAGÓN,CALLE 5,PONCIANO ARRIAGA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.358334,-99.228684,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC46,CÓNDOR,ANDRÉS HENESTROSA,LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.361666,-99.201552,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC47,LÁZARO CÁRDENAS,FELIPE ÁNGELES,PUNTA DE CEHUAYA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.360272,-99.240531,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC48,VENUSTIANO CARRANZA,PLUTARCO ELÍAS CALLES,PUNTA DE CEHUAYA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.360645,-99.241118,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC49,EMILIANO ZAPATA,FRANCISCO I. MADERO,PUNTA DE CEHUAYA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.360815,-99.242125,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC50,CARDENALES,PERICOS,LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.360356,-99.203824,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC51,FRANCISCO VILLA,VENUSTIANO CARRANZA,PUNTA DE CEHUAYA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.360428,-99.241517,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC52,FRANCISCO I. MADERO,LÁZARO CÁRDENAS,PUNTA DE CEHUAYA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.361265,-99.24085,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC53,NARANJOS,ENTRE 3 DE MAYO Y CDA. MANGOS,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.314945,-99.270573,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC54,EMILIANO ZAPATA,ENTRE AV. NARANJOS Y EMILIANO ZAPATA,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.315197,-99.269703,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC55,JAZMÍN,ALLENDE,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.316136,-99.268414,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC56,JAZMÍN,NARANJOS,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.314374,-99.268275,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC57,JAZMÍN,AZUCENA,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.318036,-99.268251,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC58,NOCHEBUENA,AZUCENA,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.318153,-99.269359,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC59,JAZMÍN,19 DE FEBRERO,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.319152,-99.268108,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC60,JAZMÍN,ENTRE CDA. ORQUÍDEA Y AZUCENA,LOMAS DE CHAMONTOYA,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.31863,-99.269157,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC61,MAXIMINO ÀVILA CAMACHO,ILLINOIS,CIUDAD DE LOS DEPORTES,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.384336,-99.178713,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC62,AV. VASCO DE QUIROGA,A. ROSALES,GRAL A ROSALES,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.379218,-99.246329,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC63,AV. VASCO DE QUIROGA,ENTRE GÓMEZ FARÍAS Y VASCO DE QUIROGA,CARLOS ALBERTO MADRAZO,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.37965,-99.24562,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC64,GÓMEZ FARIAS,ENTRE FRANCISCO ZARCO Y MIGUEL NEGRETE,BEJERO DEL PUEBLO SANTA FE,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.380274,-99.246282,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC65,GIOTTO,CARLOS DOLCI,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.375501,-99.194414,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC66,GUIDO RENI,A. DE BONDONE GIOTTO,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.375707,-99.196675,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC67,GUIDO RENI ,ENTRE JUAN COUSIN Y Á. DE BONDONE GIOTTO,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.376167,-99.197409,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC68,RUIZ DAEL,TIZIANO,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.374809,-99.19789,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC69,ADRIANO BROWER,ENTRE ROSA DE CASTILLA Y TIZIANO,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.374012,-99.196773,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC70,TINTORETO,CINCINNATI,CIUDAD DE LOS DEPORTES,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.3820828,-99.18068702,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC71,OLIVAR,ENTRE SANTA LUCIA Y PABLO VERONÉS,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.378235,-99.197782,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC72,FRANCISCO GIRARDON,JUAN COUSIN,SACRAMENTO,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.380636,-99.196636,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC73,GIOVANNI SASSOFERRATO,BENVENUTO CELLINI,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.376479,-99.193169,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC74,FRANS HALS,ENTRE BENVENUTO CELLINI Y PABLO VERONÉS,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.377058,-99.195632,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC75,PABLO VERONÉS,CARLOS DOLCI,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.377543,-99.194167,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC76,FERROCARRIL A CUERNAVACA,BENVENUTO CELLINI,ALFONSO XIII,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.376401,-99.192213,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC77,VALENTÍN GÓMEZ FARÍAS,ENTRE CDA. VALENTÍN GÓMEZ FARÍAS Y GÓMEZ FARÍAS,SAN ANGEL,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.345421,-99.198628,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC78,DESIERTO COLORADO,DESIERTO DE GOBI,STA LUCIA-REAC,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.355905,-99.258427,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC79,DESIERTO COLORADO,DESIERTO DE GOBI,STA LUCIA-REAC,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.355613,-99.25954,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC80,PRIVADA CORREGIDORA,CORREGIDORA,SANTA LUCIA,#N/A,SANTA FE,ALVARO OBREGON,PONIENTE,19.357683,-99.255197,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC81,ANDADOR 14 TARANGO,ENTRE PRIVADA 13 B Y CALLE ISLOTE,SAN CLEMENTE,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.351125,-99.222441,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC82,MESETA,CDA. 1 MESETA,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.348675,-99.217395,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC83,LLANURA,ENTRE ISLOTE Y CALZ. DE LAS ÁGUILAS,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.350591,-99.221435,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC84,BAHÍA,1A CDA. BAHÍA,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.349244,-99.222224,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC85,CDA. SEGUNDA MESETA,MESETA,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.34854,-99.216349,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC86,ALCANFORES,ENTRE 4TA CDA. MESETA Y 2DO RT. DE ARRECIFE,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.347809,-99.216654,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC87,CDA. 3 MESETA,MESETA,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.348203,-99.215885,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC88,SEGUNDO RTNO. DE ARRECIFE,ARRECIFE,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.348024,-99.221926,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC89,1ER RT. DE ARRECIFE,ARRECIFE,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.348428,-99.220794,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC90,ARRECIFE,3A CDA DE BAHIA,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.34835736,-99.22316166,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC91,GUADALUPE,SAN MIGUEL CHALMA,AMPLIACION CHALMA DE GUADALUPE,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.54879,-99.15324,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC92,SEGUO RTNO. DE ARRECIFE,A.SEGUO RTNO. DE ARRECIFE,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.34800653,-99.22194915,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC93,ESCOLLO,CERRO,AMPLIACION LAS AGUILAS,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.352012,-99.21878,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC94,CALLE 7,ENTRE AV. DEL ROSAL Y CALLE 7,BATALLON DE SAN PATRICIO,#N/A,PLATEROS,ALVARO OBREGON,PONIENTE,19.372383,-99.206236,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MT95,CULTURA NORTE,AV EL ROSARIO Y AV DE LAS CULTURAS,EL ROSARIO,#N/A,HORMIGA,AZCAPOTZALCO,PONIENTE,19.505327,-99.200913,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
